2.456362903472E+06,3.302100000000E-01,7.089300000000E+01,-1.576300000000E+01,1.115600000000E+02,5.403400000000E+04,3.053300000000E+02,1.927700000000E+00,-2.359700000000E+00,-1.227000000000E+01,-4.880200000000E-02,4.895000000000E+00,-1.000000000000E+00,1.216300000000E+01,8.314700000000E-02,9.065200000000E-03
2.456362923472E+06,3.306000000000E-01,7.064300000000E+01,-1.562700000000E+01,1.121000000000E+02,5.369400000000E+04,3.044100000000E+02,1.862700000000E+00,-2.313700000000E+00,-1.219800000000E+01,-4.557200000000E-02,4.893300000000E+00,-1.000000000000E+00,1.225100000000E+01,8.303600000000E-02,9.074200000000E-03
2.456362943472E+06,3.309900000000E-01,7.039200000000E+01,-1.549100000000E+01,1.126400000000E+02,5.335200000000E+04,3.034800000000E+02,1.795400000000E+00,-2.274100000000E+00,-1.212600000000E+01,-4.197700000000E-02,4.891400000000E+00,-1.000000000000E+00,1.233900000000E+01,8.291500000000E-02,9.082200000000E-03
2.456362963472E+06,3.313900000000E-01,7.014200000000E+01,-1.535500000000E+01,1.131700000000E+02,5.300800000000E+04,3.025500000000E+02,1.725900000000E+00,-2.240800000000E+00,-1.205600000000E+01,-3.801400000000E-02,4.889400000000E+00,-1.000000000000E+00,1.242700000000E+01,8.278200000000E-02,9.089200000000E-03
2.456362983472E+06,3.317900000000E-01,6.989100000000E+01,-1.521900000000E+01,1.137000000000E+02,5.266100000000E+04,3.016200000000E+02,1.654400000000E+00,-2.213300000000E+00,-1.198800000000E+01,-3.368200000000E-02,4.887100000000E+00,-1.000000000000E+00,1.251500000000E+01,8.263700000000E-02,9.095300000000E-03
2.456363003472E+06,3.321900000000E-01,6.964100000000E+01,-1.508400000000E+01,1.142100000000E+02,5.231200000000E+04,3.006800000000E+02,1.581100000000E+00,-2.191600000000E+00,-1.192000000000E+01,-2.897900000000E-02,4.884700000000E+00,-1.000000000000E+00,1.260200000000E+01,8.248200000000E-02,9.100300000000E-03
2.456363023472E+06,3.325900000000E-01,6.939000000000E+01,-1.495000000000E+01,1.146500000000E+02,5.200400000000E+04,2.998700000000E+02,1.493000000000E+00,-2.175100000000E+00,-1.185500000000E+01,-2.424500000000E-02,4.881500000000E+00,-1.000000000000E+00,1.268100000000E+01,8.231900000000E-02,9.104900000000E-03
2.456363043472E+06,3.330000000000E-01,6.913900000000E+01,-1.481500000000E+01,1.149600000000E+02,5.176200000000E+04,2.992700000000E+02,1.382800000000E+00,-2.159800000000E+00,-1.179000000000E+01,-1.981100000000E-02,4.877300000000E+00,-1.000000000000E+00,1.274800000000E+01,8.215500000000E-02,9.109400000000E-03
2.456363063472E+06,3.334100000000E-01,6.888800000000E+01,-1.468100000000E+01,1.152600000000E+02,5.151000000000E+04,2.986300000000E+02,1.279100000000E+00,-2.110200000000E+00,-1.172600000000E+01,-1.595700000000E-02,4.873600000000E+00,-1.000000000000E+00,1.281300000000E+01,8.196000000000E-02,9.110700000000E-03
2.456363083472E+06,3.338200000000E-01,6.863600000000E+01,-1.454700000000E+01,1.155600000000E+02,5.125400000000E+04,2.979800000000E+02,1.179200000000E+00,-2.032300000000E+00,-1.166400000000E+01,-1.298600000000E-02,4.870500000000E+00,-1.000000000000E+00,1.287700000000E+01,8.175800000000E-02,9.110100000000E-03
2.456363103472E+06,3.342400000000E-01,6.838500000000E+01,-1.441400000000E+01,1.158700000000E+02,5.099800000000E+04,2.973200000000E+02,1.078100000000E+00,-1.958200000000E+00,-1.160400000000E+01,-9.932100000000E-03,4.867800000000E+00,-1.000000000000E+00,1.294300000000E+01,8.156200000000E-02,9.110300000000E-03
2.456363123472E+06,3.346500000000E-01,6.813300000000E+01,-1.428000000000E+01,1.161800000000E+02,5.074300000000E+04,2.966600000000E+02,9.762800000000E-01,-1.887900000000E+00,-1.154400000000E+01,-6.791900000000E-03,4.865500000000E+00,-1.000000000000E+00,1.301000000000E+01,8.137000000000E-02,9.111200000000E-03
2.456363143472E+06,3.350700000000E-01,6.788200000000E+01,-1.414800000000E+01,1.165000000000E+02,5.048700000000E+04,2.959900000000E+02,8.737300000000E-01,-1.821400000000E+00,-1.148500000000E+01,-3.563300000000E-03,4.863500000000E+00,-1.000000000000E+00,1.307900000000E+01,8.118200000000E-02,9.112800000000E-03
